ticker,ccp,tag
aa,CY2015,"438     RevenueFromRelatedParties
2065              SalesRevenueNet
Name: (aa, CY2015), dtype: object"
aa,CY2016,"1352    RevenueFromContractWithCustomerExcludingAssess...
410                             RevenueFromRelatedParties
Name: (aa, CY2016), dtype: object"
aa,CY2017,"2008    RevenueFromContractWithCustomerExcludingAssess...
403                             RevenueFromRelatedParties
Name: (aa, CY2017), dtype: object"
aagh,CY2017,"336     ProfessionalFees
1563            Revenues
Name: (aagh, CY2017), dtype: object"
aagh,CY2018,"333     ProfessionalFees
1307            Revenues
Name: (aagh, CY2018), dtype: object"
aagh,CY2019,"305     ProfessionalFees
1071            Revenues
Name: (aagh, CY2019), dtype: object"
aagh,CY2020,"309    ProfessionalFees
974            Revenues
Name: (aagh, CY2020), dtype: object"
aagh,CY2021,"284    ProfessionalFees
916            Revenues
Name: (aagh, CY2021), dtype: object"
aain,CY2010,"224    InterestIncomeOperating
954           ProfessionalFees
Name: (aain, CY2010), dtype: object"
aain,CY2011,"248     InterestIncomeOperating
1270           ProfessionalFees
Name: (aain, CY2011), dtype: object"
aain,CY2012,"235     InterestIncomeOperating
1220           ProfessionalFees
Name: (aain, CY2012), dtype: object"
aain,CY2013,"198    InterestIncomeOperating
577           ProfessionalFees
Name: (aain, CY2013), dtype: object"
aain,CY2014,"186    InterestIncomeOperating
531           ProfessionalFees
Name: (aain, CY2014), dtype: object"
aal,CY2016,"10      RevenueFromContractWithCustomerExcludingAssess...
1731                                      SalesRevenueNet
Name: (aal, CY2016), dtype: object"
aal,CY2017,"14      RevenueFromContractWithCustomerExcludingAssess...
1479                                      SalesRevenueNet
Name: (aal, CY2017), dtype: object"
aam-pb,CY2009,"231     InvestmentIncomeNet
414        ProfessionalFees
1805               Revenues
Name: (aam-pb, CY2009), dtype: object"
aam-pb,CY2010,"327     InvestmentIncomeNet
1252       ProfessionalFees
3092               Revenues
Name: (aam-pb, CY2010), dtype: object"
aam-pb,CY2011,"394     InvestmentIncomeNet
1660       ProfessionalFees
2974               Revenues
Name: (aam-pb, CY2011), dtype: object"
aam-pb,CY2012,"386     InvestmentIncomeNet
1651       ProfessionalFees
3870               Revenues
Name: (aam-pb, CY2012), dtype: object"
aam-pb,CY2013,"375     InvestmentIncomeNet
881        ProfessionalFees
3742               Revenues
Name: (aam-pb, CY2013), dtype: object"
aam-pb,CY2014,"370     InvestmentIncomeNet
793        ProfessionalFees
2421               Revenues
Name: (aam-pb, CY2014), dtype: object"
aam-pb,CY2015,"343     InvestmentIncomeNet
682        ProfessionalFees
2171               Revenues
Name: (aam-pb, CY2015), dtype: object"
aam-pb,CY2016,"333     InvestmentIncomeNet
2292               Revenues
Name: (aam-pb, CY2016), dtype: object"
aam-pb,CY2017,"325     InvestmentIncomeNet
2406               Revenues
Name: (aam-pb, CY2017), dtype: object"
aam-pb,CY2018,"199     InvestmentIncomeNet
1962               Revenues
Name: (aam-pb, CY2018), dtype: object"
